size,offerAmountCents
5.5,"{'currency': 'USD', 'amount': 11500, 'amountUsdCents': 11500}"
6.5,"{'currency': 'USD', 'amount': 20000, 'amountUsdCents': 20000}"
7.0,"{'currency': 'USD', 'amount': 10000, 'amountUsdCents': 10000}"
7.5,"{'currency': 'USD', 'amount': 7500, 'amountUsdCents': 7500}"
8.5,"{'currency': 'USD', 'amount': 10000, 'amountUsdCents': 10000}"
9.0,"{'currency': 'USD', 'amount': 11000, 'amountUsdCents': 11000}"
9.5,"{'currency': 'USD', 'amount': 10900, 'amountUsdCents': 10900}"
10.0,"{'currency': 'USD', 'amount': 7500, 'amountUsdCents': 7500}"
10.5,"{'currency': 'USD', 'amount': 12000, 'amountUsdCents': 12000}"
11.0,"{'currency': 'USD', 'amount': 11500, 'amountUsdCents': 11500}"
11.5,"{'currency': 'USD', 'amount': 10900, 'amountUsdCents': 10900}"
12.0,"{'currency': 'USD', 'amount': 11500, 'amountUsdCents': 11500}"
13.0,"{'currency': 'USD', 'amount': 11000, 'amountUsdCents': 11000}"
14.0,"{'currency': 'USD', 'amount': 8400, 'amountUsdCents': 8400}"
15.0,"{'currency': 'USD', 'amount': 9600, 'amountUsdCents': 9600}"
